baseId,featureName,featureDescription,emblemName,emblemDescription
151,青蜂,攻击技能命中处于中毒状态的对手会重置中毒状态为3回合,蜂纹,对手具有蜂纹时，自身攻击技能造成伤害的1/10会恢复自身的体力
154,紫电,特攻技能伤害增加10%，物攻技能命中率增加10%,挑衅,挑衅也增加自身20点怒气
178,潜能,攻击附带自身个体值的伤害,必杀,必杀技的属性相克系数不会低于1
200,毒粉,自身具有花粉弥漫时，每回合使对手失去25点体力,荧光,对手具有荧光花粉时，每回合恢复自身25点体力
214,神光,体力高于1/2时免疫不良，低于1/2时光系技能必中,光武,使用光系技能恢复5点怒气
220,联动,物攻技能使自身特攻值增加25点，特攻技能使自身物防值增加25点，可叠加3次,联防,非首发时受到的伤害减少10%
224,孤高,被攻击性技能命中时，使对手失去15怒气,安魂,霜后安魂曲造成的伤害增加10%
234,炎帝,怒气永不低于25，且回合开始时怒气高于50会免疫异常1回合,阳炎,在炎热环境下所有技能必中
235,羽刃,攻击时已累积三十二式会增加30固伤,羽刃,对手使用物攻技能时会受到50点伤害反弹
241,幻斑,攻击时10%使对手昏迷2回合,深海,深海场地下受到的伤害减少10%
301,森林,自身具有森林祝福时受到的伤害减少10%,祝福,使森林祝福提升的体力回复率提高5%
302,红球,当仅有红色水球时，水系技能伤害增加20%,蓝球,每消耗1个蓝色水球时增加自身10点怒气
320,影魔,回合结束时每1个影子都能为自身恢复10点体力,影子,出场时获得1个影子
323,暴食,攻击造成的伤害若低于100则恢复自身1/12体力,贪食,食类技能命中后能解除自身不良
326,虚无,普通系技能对自身的命中率减少35%,契约,魔鬼契约可额外提升自身50点特防值
329,堕落,对手具有弱化时，自身每次攻击能恢复30体力,刻死,自身战败时会随机弱化对手能力1级
332,怒视,对手使用属性技能时自身获得10点怒气,理智,上场时获得100点怒气传递状态
388,指引,以星的指引伤害增加10%,星的,出场时自带星的指引
436,甲骨,出场时获得不屈状态,棒骨,棒骨的反弹效果和反弹上限增加10%
495,战神,古战场时每回合回复1/16体力,怒战,古战场时攻击附带35点伤害
761,固态,固态状态下受到的克制系伤害不超过200,冰晶,冰晶类技能命中后会消除对手5点怒气
826,五味,属性技能命中后有15%几率恢复1/6体力,萌月,使五味特性触发恢复体力的几率增加10%
845,割裂,特攻技能使自身物攻值增加25点，物攻技能使自身特防值增加25点，可叠加3次[ENDL]（这只精灵视为埃鲁达克的对应型态）,联攻,非首发时造成的伤害增加10%
959,逻辑,回合结束时自身体力低于1/8会强化1级速度,专注,击败对手时清除自身异常状态
961,首星,星移环境下命中率增加50%,首魅,使幻魅之眼的魅惑效果延长1回合
962,躯星,星移环境下受到的伤害减少10%,躯徽,使星尘幻盾回复自身120点体力
963,臂星,星移环境下攻击前有15%几率使对手冻伤3回合,臂骈,使星刃解封提升自身速度1级
964,足星,星移环境下所有技能先制+2,足躏,战斗开始时获得10点怒气
965,背星,星移环境下攻击造成的伤害不低于100,背逆,使星辰回转先制+1
966,心星,星移环境下每回合增加5点怒气,心惘,使星辰变幻解除自身弱化
970,星移,上场后首次决定技能时使环境转变为星移,璨星,免疫异常状态
981,灵目,免疫不良状态，回合结束时体力低于1/8时会自动恢复1/8体力,复苏,出场时附带复苏领域
982,灵脉,免疫不良状态，回合结束时体力为1会怒气回满，血衣状态下对手暴击-1,潮汐,出场时附带潮汐领域
988,灵影,免疫不良状态，被对手技能命中时生成1枚影钩,幻视,出场时附带幻视领域
989,最强,全能力值提升100点,王者,出场时附带王者体质
990,王者,免疫不良状态，怒气不低于30,王权,出场时附带王权领域
1990,王者,免疫异常状态，怒气不低于30,王罚,出场时附带王罚领域
-1,骇浪,雨天环境下使用攻击技能恢复自身5怒气,龙牙,使用龙系技能同样适用本系加成
-4,魔焰,炎热环境下暴击率增加15%,火拳,对手怒气高于50时，自身技能威力增加15
-7,飞叶,晴天环境下受到的暴击伤害减少25%,花舞,对手被花粉影响时，自身的物理技能附带35点固定伤害
-10,猛禽,体力低于1/4时，飞行系技能先制+1,红韵,体力低于1/4时，使用红韵有35%几率闪避下一次攻击
