skinId,name,physics,attribute,special,critical,fit
10141,梦米拉,10,30,45,97,0
100618,拉奥兽,42,19,33,87,113
100632,迪兰特斯,51,27,53,83,118
100640,休罗伊尔,31,23,43,127,135
102561,影灵兽,46,15,12,65,0
-1,伊优达,31,16,27,0,0
-2,利爪尤里安,43,43,29,0,0
-3,鲁斯王,59,31,30,59,0
-4,炎火猴,40,15,25,0,0
-5,熔火灵猴,46,20,26,0,0
-6,魔焰猩猩,46,22,24,46,0
-7,黄金布布,47,27,32,0,0
-8,蒙娜布布,49,36,32,0,0
-9,丽莎布布,50,27,39,39,0
